v40_field_data.csv,,,,,,,,,,,,,
Eric Barefoot,,,,,,,,,,,,,
"July, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
"This table is field data collected in the upper reaches of the V40 stream in the former Karamea Mine near Denniston, New Zealand.",,,,,,,,,,,,,
This data set was created by Eric Barefoot by pacing along streams and taking wetted stream width measurements every ~5 meters with a tape measure.,,,,,,,,,,,,,
This data was collected to determine the distribution of stream widths in headwater catchments.,,,,,,,,,,,,,
Measurement interval was demarcated with length of rope ~5 meters long. ,,,,,,,,,,,,,
GPS waypoints were taken at nodes in the stream network.,,,,,,,,,,,,,
,,,,,,,,,,,,,
columns:,,,,,,,,,,,,,
stream_segment_ID,Internal and external stream segments usually seperated by nodes. Order is arbitrary,,,,,,,,,,,,
direction,We either paced upstream or downstream,,,,,,,,,,,,
flowing_width,Raw width measurements taken in inches,,,,,,,,,,,,
percent_nonflow,"Estimated percentage of the streams that were not flowing due to sandbars, rocks, vegetation, or other material at the surface of the stream",,,,,,,,,,,,
code,attributes of stream or measurement ,,,,,,,,,,,,
,B,bushes,,,,,,,,,,,
,DM,divine measurement - width visually estimated (only done where dangerous vegetation was too dense to measure),,,,,,,,,,,
,G,tall grass,,,,,,,,,,,
,MC,multiple channels seperated by vegetation,,,,,,,,,,,
,RF,width measured by laser range finder (in meters),,,,,,,,,,,
,SC,Stream covered by snow,,,,,,,,,,,
,M,Marshy ground with exensive standing water,,,,,,,,,,,
notes,misc notes,,,,,,,,,,,,
environment,where the stream is located,,,,,,,,,,,,
measurer_name,name of person pacing and taking width measurements,,,,,,,,,,,,
date,date,,,,,,,,,,,,
stream_order,strahler stream order (no 0 order streams),,,,,,,,,,,,
S16,Upstream,41,,,,Bushy,Eric,28-Jun-15,3,,564568.663914,5375343.51031,713.66809082
S16,Upstream,43,,,,Bushy,Eric,28-Jun-15,3,395,564567.798017,5375339.78104,713.950378418
S18,Upstream,14,,,,Bushy,Eric,29-Jun-15,3,395,564565.737191,5375335.74134,714.553894043
S18,Upstream,145,70,MC,,Bushy,Eric,29-Jun-15,3,,564565.619613,5375331.12591,714.883239746
S18,Upstream,163,80,MC,,Bushy,Eric,29-Jun-15,3,,564564.736811,5375326.50951,715.218566895
S18,Upstream,42,10,,,Bushy,Eric,29-Jun-15,3,398,564565.53393,5375320.72885,715.735107422
S19,Upstream,5,30,,,Bushy,Eric,29-Jun-15,1,395,564595.315968,5375344.08184,711.815551758
S19,Upstream,6,60,,,Bushy,Eric,29-Jun-15,1,,564591.253207,5375344.28022,712.120117188
S19,Upstream,11,40,,,Scrub,Eric,29-Jun-15,1,,564587.269224,5375344.34742,712.398681641
S19,Upstream,4,60,,,Scrub,Eric,29-Jun-15,1,,564583.444537,5375343.82059,712.660949707
S19,Upstream,0,,,,Scrub,Eric,29-Jun-15,1,,564579.78108,5375342.70203,713.084533691
S19,Upstream,17,60,,,Scrub,Eric,29-Jun-15,1,,564576.187131,5375343.97765,713.147949219
S19,Upstream,0,,,,Grassland,Eric,29-Jun-15,1,,564574.701413,5375340.14927,713.495178223
S19,Upstream,0,,,,Grassland,Eric,29-Jun-15,1,396,564570.937931,5375340.82138,713.721557617
S20,Upstream,10,30,,,Bushy,Eric,29-Jun-15,1,398,564568.759357,5375318.57506,715.750976563
S20,Upstream,8,40,,,Bushy,Eric,29-Jun-15,1,,564572.061043,5375315.72629,715.776611328
S20,Upstream,6,40,,,Bushy,Eric,29-Jun-15,1,,564573.639112,5375311.51381,716.355102539
S20,Upstream,10,30,,,Scrub,Eric,29-Jun-15,1,,564577.83994,5375311.44666,716.108825684
S20,Upstream,16,20,,,Scrub,Eric,29-Jun-15,1,,564583.015185,5375309.12436,716.120849609
S21,Upstream,25,,,,Bushy,Eric,29-Jun-15,3,398,564564.136005,5375316.91966,716.088928223
S21,Upstream,7,,,,Bushy,Eric,29-Jun-15,3,,564563.967638,5375311.6598,716.631896973
S21,Upstream,6,,,,Bushy,Eric,29-Jun-15,3,,564560.41866,5375308.19471,716.936584473
S21,Upstream,4,,,,Bushy,Eric,29-Jun-15,3,,564561.246166,5375303.10951,717.473083496
S21,Upstream,22,,,,Bushy,Eric,29-Jun-15,3,,564558.840997,5375299.43012,717.87713623
S21,Upstream,10,,,,Bushy,Eric,29-Jun-15,3,,564556.654312,5375294.07101,718.265380859
S21,Upstream,16,,,,Bushy,Eric,29-Jun-15,3,,564558.002998,5375289.84307,718.772583008
S21,Upstream,14,,,,Bushy,Eric,29-Jun-15,3,,564556.396147,5375285.74264,719.14276123
S21,Upstream,27,,,,Bushy,Eric,29-Jun-15,3,,564557.138284,5375281.51296,719.491882324
S21,Upstream,9,,,,Bushy,Eric,29-Jun-15,3,,564553.373249,5375278.10733,719.836303711
S21,Upstream,11,,,,Bushy,Eric,29-Jun-15,3,,564550.935807,5375274.08368,720.160766602
S21,Upstream,34,10,,,Bushy,Eric,29-Jun-15,3,,564550.842724,5375269.47359,720.494506836
S21,Upstream,9,,,,Bushy,Eric,29-Jun-15,3,,564548.583668,5375264.97188,720.767333984
S21,Upstream,21,,,bedrock,Bushy,Eric,29-Jun-15,3,,564551.136745,5375261.02674,721.171630859
S21,Upstream,65,60,MC,,Bushy,Eric,29-Jun-15,3,398,564547.330437,5375257.38454,721.436889648
S22,Upstream,13,10,,,Bushy,Eric,29-Jun-15,1,400,564531.26242,5375255.32025,721.25402832
S22,Upstream,5,20,,,Bushy,Eric,29-Jun-15,1,,564536.658384,5375255.08533,721.365112305
S22,Upstream,4,10,,,Bushy,Eric,29-Jun-15,1,,564542.451855,5375254.97295,721.512756348
S23,Upstream,7,,,,Bushy,Eric,29-Jun-15,3,402,564544.14256,5375252.66659,721.691894531
S25a,Upstream,39,,,,Bushy,Eric,29-Jun-15,3,420,564547.028901,5375248.54146,722.185913086
S25b,Upstream,13,,,,Bushy,Eric,29-Jun-15,3,404,564543.086234,5375245.0133,722.50402832
S25b,Upstream,28,,,,Bushy,Eric,29-Jun-15,3,408,564540.954047,5375240.20021,723.173095703
S26,Upstream,15,30,,vegetation,Bushy,Eric,29-Jun-15,2,404,564543.966647,5375249.59785,722.08001709
S26,Upstream,17,80,,,Scrub,Eric,29-Jun-15,2,,564540.060692,5375248.85588,721.971557617
S26,Upstream,7,20,,,Scrub,Eric,29-Jun-15,2,,564535.609872,5375250.35895,721.869628906
S26,Upstream,15,20,,rocks,Grassland,Eric,29-Jun-15,2,,564531.829027,5375249.22255,721.795410156
S26,Upstream,7,10,,,Grassland,Eric,29-Jun-15,2,,564529.280425,5375245.81015,722.198730469
S26,Upstream,11,50,G,,Grassland,Eric,29-Jun-15,2,,564526.280311,5375242.95888,722.436767578
S26,Upstream,52,70,G,vegetation,Grassland,Eric,29-Jun-15,2,,564522.995776,5375240.16436,723.048278809
S26,Upstream,8,50,,,Grassland,Eric,29-Jun-15,2,,564518.780128,5375239.28483,723.203796387
S26,Upstream,4,30,,,Grassland,Eric,29-Jun-15,2,,564515.086037,5375238.86315,723.726501465
S26,Upstream,3,20,,,Grassland,Eric,29-Jun-15,2,,564511.181629,5375236.27464,724.325134277
S26,Upstream,5,10,,,Grassland,Eric,29-Jun-15,2,,564507.568642,5375234.48739,725.004821777
S26,Upstream,3,70,G,,Grassland,Eric,29-Jun-15,2,,564503.566349,5375232.42662,725.741821289
S26,Upstream,1,10,,,Grassland,Eric,29-Jun-15,2,,564499.239819,5375233.31496,726.199035645
S26,Upstream,2,,,,Grassland,Eric,29-Jun-15,2,,564495.253787,5375231.11225,726.996032715
S26,Upstream,9,70,G,,Grassland,Eric,29-Jun-15,2,,564492.39761,5375228.82695,727.547912598
S26,Upstream,29,50,,rocks,Grassland,Eric,29-Jun-15,2,,564489.257451,5375226.71164,728.357543945
S26,Upstream,14,20,,,Grassland,Eric,29-Jun-15,2,,564485.175092,5375228.74743,728.576293945
S26,Upstream,3,40,G,,Grassland,Eric,29-Jun-15,2,,564481.002359,5375227.56525,729.391174316
S26,Upstream,28,10,G,,Grassland,Eric,29-Jun-15,2,,564476.416199,5375225.93277,730.202209473
S26,Upstream,14,10,,,Grassland,Eric,29-Jun-15,2,,564474.363343,5375221.9657,731.029296875
S26,Upstream,12,20,,,Grassland,Eric,29-Jun-15,2,,564470.407586,5375219.26593,731.819641113
S26,Upstream,5,30,,,Grassland,Eric,29-Jun-15,2,,564466.499139,5375217.93157,732.597717285
S26,Upstream,0,,,,Grassland,Eric,29-Jun-15,2,,564463.044576,5375214.52876,733.358947754
S26,Upstream,9,30,,,Grassland,Eric,29-Jun-15,2,405,564464.056075,5375209.53496,733.933288574
S31a,Upstream,13,,,,Scrub,Eric,29-Jun-15,3,408,564539.87419,5375236.98274,723.387939453
S31a,Upstream,10,,,,Scrub,Eric,29-Jun-15,3,409,564537.839897,5375233.64897,723.912597656
S31b,Upstream,7,,,,Scrub,Eric,29-Jun-15,3,409,564535.895577,5375229.47208,724.520019531
S31b,Upstream,24,10,,,Scrub,Eric,29-Jun-15,3,411,564536.456942,5375225.16975,725.147583008
S31b,Upstream,41,60,G,,Scrub,Eric,29-Jun-15,3,,564532.536799,5375221.41842,725.837890625
S31b,Upstream,23,,,,Scrub,Eric,29-Jun-15,3,410,564528.885807,5375218.21094,726.61505127
S33,Upstream,17,,,S32 deleted,Bushy,Eric,29-Jun-15,2,413,564522.87366,5375216.64544,727.190612793
S34a,Upstream,5,,,,Bushy,Eric,29-Jun-15,2,410,564525.430491,5375213.3193,727.453735352
S34a,Upstream,14,,,,Bushy,Eric,29-Jun-15,2,418,564519.722575,5375211.46003,727.988830566
S34b,Upstream,65,50,MC,,Bushy,Eric,29-Jun-15,1,418,564517.565709,5375208.09072,728.776123047
S34b,Upstream,33,40,MC,,Bushy,Eric,29-Jun-15,1,,564514.216909,5375205.03474,729.668945313
S34b,Upstream,288,90,MC,,Bushy,Eric,29-Jun-15,1,,564511.42363,5375201.75178,730.130432129
S34b,Upstream,13,10,,,Bushy,Eric,29-Jun-15,1,,564511.76255,5375197.40017,730.727294922
S34b,Upstream,3,,,,Bushy,Eric,29-Jun-15,1,,564509.119651,5375193.61198,731.347412109
S34b,Upstream,0,,,,Bushy,Eric,29-Jun-15,1,,564507.385933,5375190.22175,731.93536377
S34b,Upstream,156,95,"MC, G",,Bushy,Eric,29-Jun-15,1,,564507.14849,5375185.41731,732.103393555
S34b,Upstream,23,10,,,Bushy,Eric,29-Jun-15,1,,564508.007472,5375180.9624,732.078186035
S34b,Upstream,111,,,,Bushy,Eric,29-Jun-15,1,,564507.037242,5375178.69006,732.051147461
S34b,Upstream,16,,,,Bushy,Eric,29-Jun-15,1,,564504.607576,5375176.61754,732.67767334
S34b,Upstream,13,60,G,,Bushy,Eric,29-Jun-15,1,,564501.003264,5375176.20259,733.002441406
S34b,Upstream,38,75,,,Bushy,Eric,29-Jun-15,1,,564498.290323,5375173.62265,733.621398926
S34b,Upstream,0,,,,Bushy,Eric,29-Jun-15,1,,564493.89146,5375174.55106,734.245544434
S34b,Upstream,0,,,,Bushy,Eric,29-Jun-15,1,,564490.543349,5375175.85228,734.811279297
S34b,Upstream,6,,,,Bushy,Eric,29-Jun-15,1,,564486.349441,5375177.00935,735.34753418
S34b,Upstream,0,,,,Bushy,Eric,29-Jun-15,1,,564483.043507,5375174.2793,735.671569824
S34b,Upstream,93,20,,,Bushy,Eric,29-Jun-15,1,,564478.061728,5375173.14394,736.509338379
S34b,Upstream,14,40,G,,Bushy,Eric,29-Jun-15,1,,564473.992372,5375174.67384,736.872558594
S34b,Upstream,16,40,,,Bushy,Eric,29-Jun-15,1,,564469.614739,5375175.54187,737.284667969
S34b,Upstream,52,10,,,Bushy,Eric,29-Jun-15,1,,564465.20324,5375174.64563,737.656738281
S34b,Upstream,75,10,,,Bushy,Eric,29-Jun-15,1,,564461.821792,5375171.70718,738.222717285
S34b,Upstream,9,20,,,Bushy,Eric,29-Jun-15,1,,564456.876088,5375172.1475,738.532836914
S36,Upstream,16,40,,,Bushy,Eric,29-Jun-15,1,,564512.714959,5375221.20006,726.613464355
S36,Upstream,4,,,,Grassland,Eric,29-Jun-15,1,,564518.543404,5375219.27452,726.643615723
S37,Upstream,23,,,,Bushy,Eric,29-Jun-15,2,,564517.544491,5375215.99869,727.382385254
