blueduck_field_data.csv,,,,,,,,,,,,,,,
Eric Barefoot,,,,,,,,,,,,,,,
"July, 2015",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"This table is field data collected in the upper reaches of the Blue Duck Creek in the foothills of the Seaward Kaikoura Range, New Zealand.",,,,,,,,,,,,,,,
This data set was created by Eric Barefoot and Emily Beckham by hiking along streams and taking wetted stream width measurements every ~5 meters with a tape measure.,,,,,,,,,,,,,,,
This data was collected to determine the distribution of stream widths in headwater catchments.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GPS waypoints were taken at nodes in the stream network.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
columns:,,,,,,,,,,,,,,,
stream_segment_ID,,,,,,,,,,,,,,,
direction,We either paced upstream or downstream,,,,,,,,,,,,,,
flowing_width,Raw width measurements taken in inches,,,,,,,,,,,,,,
percent_nonflow,"Estimated percentage of the streams that were not flowing due to sandbars, rocks, vegetation, or other material at the surface of the stream",,,,,,,,,,,,,,
code,attributes of stream or measurement ,,,,,,,,,,,,,,
,B,bushes,,,,,,,,,,,,,
,DM,divine measurement - width visually estimated (only done a few times in blue duck where ongaonga was too dense to measure),,,,,,,,,,,,,
,G,tall grass,,,,,,,,,,,,,
,MC,multiple channels seperated by vegetation,,,,,,,,,,,,,
,RF,width measured by laser range finder (in meters),,,,,,,,,,,,,
,SC,Stream covered by snow,,,,,,,,,,,,,
,M,Marshy ground with standing water,,,,,,,,,,,,,
,LT,width measured using a long tape measure - width in cm,,,,,,,,,,,,,
notes,misc notes,,,,,,,,,,,,,,
environment,where the stream is located,,,,,,,,,,,,,,
measurer_name,name of person pacing and taking width measurements,,,,,,,,,,,,,,
S7,Downstream,33,10,,,Forest,Emily,12-Jul-15,3,,726162.84,5315221.84,197.18,117568,-0.1231741661
S7,Downstream,52,50,,,Forest,Emily,12-Jul-15,3,,726170.57,5315220.66,195.85,119488,-0.1231741661
S7,Downstream,17,10,,,Forest,Emily,12-Jul-15,3,,726175.56,5315221.49,193.96,120576,-0.1231741661
S7,Downstream,0,,,stream goes underground,Forest,Emily,12-Jul-15,3,,726177.61,5315222.1,193.96,120576,-0.1231741661
S7,Downstream,9,50,,,Forest,Emily,12-Jul-15,3,,726182.21,5315223.98,196.82,120576,-0.1231741661
S7,Downstream,24,60,,,Forest,Emily,12-Jul-15,3,,726185.39,5315225.54,195.27,122368,-0.1231741661
S7,Downstream,0,,,landslide material buries stream but too large to excavate,Forest,Emily,12-Jul-15,3,,726193.18,5315229.35,193.61,123200,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726196.48,5315232.95,196.67,123200,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726201.22,5315235.29,192.96,124288,-0.1231741661
S7,Downstream,10,10,,leaf litter,Forest,Emily,12-Jul-15,3,,726204.72,5315237.01,192.96,125120,-0.1231741661
S7,Downstream,35,30,,,Forest,Emily,12-Jul-15,3,,726211.99,5315238.68,191.8,125120,-0.1231741661
S7,Downstream,0,,,rock pile forming ~1m tall knickpoint,Forest,Emily,12-Jul-15,3,,726217.07,5315238.93,189.31,125120,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726221.13,5315239.85,189.31,127104,-0.1231741661
